"","Ductal","Cancer","mDCs","pDCs","Macrophages","Mast","T","Monocytes"
"41x25",0.832573715259857,0.000789713004483872,0,0.0183095755242753,0,0.0540660615504373,0.094260934660946,0
"41x26",0.779779933216592,0.0353687142229872,0,0.0668983844854355,0,0.00103586620286698,0.116917101872119,0
"41x27",0.824773137356103,0.0389331129204307,0,0.025121092964243,0,0.0290172206868618,0.0756761774084811,0.00647925866387997
"41x28",0.762829829498391,0.0382679845782449,0,0.0654725249466079,0,0.0853721730845799,0.0480574878921759,0
"41x29",0.772107080038598,0.0920257348767302,0,0.0056358744555497,0,0.0071524934763879,0.123078817152734,0
"41x30",0.748591110172452,0.0629079877478343,0,0.000219855564126112,0,0.0620348608979617,0.126246185617626,0
"41x31",0.704740329782769,0.0647172749481409,0,0.0764039296653039,0,0.0152665203840696,0.138871945219716,0
"41x32",0.898377423205216,0,0,0.00386069394169821,0,0.0183959025679307,0.0793659802851547,0
"41x33",0.767171333878095,0.0309564150919623,0,0.0401031507461628,0,0.0728951263300261,0.0888739739537533,0
"41x34",0.887220920899005,0,0,0.049332502032396,0,0.0151515337859732,0.0437204033488883,0.00457463993373766
"41x35",0.791258113817617,0.0319689298322985,0,0.0722952825022918,0,0.0602423168849932,0.0442353569627999,0
"41x36",0.783042738903709,0.101356955503666,0,0.0467036674410505,0,0.057059062771166,0.0118375753804079,0
"41x37",0.804648030289754,0.00663806457851425,0,0.091292702136828,0,0.0166584457620132,0.0807627572328908,0
"41x38",0.739738373008183,0.0833105788357374,0,0.0285972767345345,0.0135947432694909,0.0257973431252143,0.10896168502684,0
"41x39",0.709430670419967,0.0400005053095754,0,0.0282414064495869,0,0.0277587704161531,0.194568647404718,0
"41x40",0.778935380645239,0.0283227720812887,0,0.0163745795825306,0,0.0306358885612183,0.136712815957972,0.00901856317175117
"41x41",0.785527525858585,0.0382375626368459,0,0.01857902533051,0,0.0366641430785164,0.120991743095543,0
"41x42",0.706250744938775,0.0773463535700713,0,0.0438222103471496,0,0.0338680525142829,0.138712638629721,0
"41x43",0.85090985488464,0.0245305631152777,0,0.000111100049064267,0,0.0163455903895635,0.108102891561454,0
"41x44",0.580812345525849,0.169373154242351,0,0.081263702786384,0,0.076038642613107,0.0050007248018979,0.0875114300304108
"41x45",0.641467680269132,0.0361597500937214,0.10597139433987,0.0638251041044629,0.0489411826038952,0.016355022137029,0.0464403691104239,0.0408394973414651
"41x46",0.66419854217437,0.112262145026101,0.0673486082648378,0.0350015603884828,0.000791352804664281,0.018781900392818,0.0791414516388554,0.0224744393098713
"41x47",0.602053648945916,0.0363063006444193,0.0857410163394306,0.0939697205862737,0,0.0481137354347015,0.0773199469635529,0.0564956310857058
"41x48",0.463896900216369,0.0977510263289651,0.163001058972013,0.108836450130946,0,0,0.166514564351706,0
"41x49",0.642602375423822,0.0576089352130326,0.0893021931805586,0.0553613193216482,0.032896513379708,0.000312404168324002,0.111688857828064,0.0102274014848422
"42x0",0.258413328666302,0.369983420596803,0,0.0653069218397136,0.108244795257833,0.0984763978589642,0.0995751357803841,0
"42x1",0.339777560499614,0.219487399029973,0.0896889589517768,0.0769019346815509,0.0892976598021258,0.0232890944185507,0.136547680726992,0.0250097118894166
"42x2",0.523901349677901,0.185264600056589,0.00126346982751023,0.00141599811787663,0.112683648781893,0.068430096625369,0.106270343708056,0.000770493204804707
"42x3",0.271822373534503,0.268548942275383,0.153924422387198,0.153669789176112,0.0313536716765963,0.028734251771545,0.0913481137959009,0.000598435382762111
"42x4",0.280461598215646,0.332517695557356,0.020909977057307,0.159567629268092,0,0.016880633175575,0.0970054120337612,0.0926570546922628
"42x5",0.353882711576812,0.192430174172821,0,0.108453949566103,0.119788687109392,0.056217283268383,0.143066703216359,0.0261604910901312
"42x6",0.433077258543044,0.301541589921598,0.000869527300378893,0.0546545806511191,0.0450960230560866,0.0332988299181663,0.113386157066681,0.0180760335429253
"42x7",0.379476983149336,0.17813954203153,0,0.125404628388591,0,0,0.11172997885756,0.205248867572983
"42x8",0.49472498848809,0.17952200362188,0.000927230289057435,0.0524506564192774,0.239963073689321,0,0.0324120474923739,0
"42x9",0.348770377250149,0.378692086569518,0,0.0357636931802713,0.0921622684343085,0.0166847940679802,0.127926780497773,0
"42x10",0.43612076386432,0.151404403266491,0.102565722277281,0.0908379259735247,0.0514014424398609,0.00926240318260682,0.135120183094485,0.0232871559014301
"42x11",0.678606090638019,0.0466317375342329,0,0.0734630556679868,0,0.0426711569271574,0.103262369723265,0.0553655895093385
"42x12",0.561635481419819,0.180600286395465,0.0110862701893405,0.0556523112552479,0.0196805736892204,0.0105495466329103,0.159753277688226,0.00104225272976983
"42x13",0.429989641646926,0.166477696421542,0.102695988436347,0.0289041036868303,0.0993576021680955,0.0266568242705344,0.145918143369726,0
"42x14",0.595471748104651,0.166607671302045,0.0042236028183256,0.0491569506575611,0.0189412826768706,0.0130315232550952,0.149186049119757,0.00338117206569388
"42x15",0.569229491492337,0.170475001806661,0,0.078692983028882,0.022712621118147,0.00542582886591604,0.14601513815163,0.0074489355364278
"42x16",0.544870532511416,0.155666572075363,0.192563917416157,0.0734979396941286,0,0.0124997799667215,0.0209012583362138,0
"42x17",0.71115457755704,0.223863562322158,0,0,0,0.0242875484144419,0.0406943117063607,0
"42x18",0.761938000553783,0.066957306753826,0,0.0208494887571551,0,0.0589394642908949,0.0913157396443411,0
"42x19",0.803857203660434,0.0721569527125068,0,0.0463048868666907,0,0.00625937341772809,0.060060118870586,0.0113614644720545
"42x20",0.862664923759719,0.0197016449226084,0,0.0373471248110806,0,0.00839435695873464,0.0654356798403289,0.0064562697075283
"42x21",0.820356954489589,0,0,0.019611740475554,0,0.0474563256673672,0.111809596153987,0.000765383213502955
"42x22",0.736873348246577,0.0891126844228467,0,0.0462001513472267,0,0.0193389336674641,0.108474882315886,0
"42x23",0.753108511886244,0.131166835918813,0,0.0163170324955238,0,0.0439109568893633,0.0554966628100562,0
"42x24",0.853833221971633,0.0279135945168506,0,0.0253283050679844,0,0.0503036873147551,0.0426211911287771,0
"42x25",0.733800378386356,0.0989423692879317,0,0.0989572584389049,0,0.00648918444022362,0.0618108094465837,0
"42x26",0.788278629167192,0.000945185252829459,0,0.0720363781655745,0,0.031281180337668,0.0997449910474383,0.00771363602929815
"42x27",0.698237651848842,0.109785795149236,0,0.0451935038665825,0,0.0419714033944373,0.104811645740902,0
"42x28",0.678621393625306,0.107883315318114,0,0.031192688630868,0,0.0470351635991244,0.119987156393332,0.0152802824332552
"42x29",0.814158563103411,0.005679491383801,0,0.0820930876843712,0,0.0173447963669757,0.073442852364351,0.00728120909708988
"42x30",0.838898887339765,0.00641052719989318,0,0.0260886066771809,0,0.0160342159658147,0.112567762817346,0
"42x31",0.895491760950202,0.0139365200192124,0,0.0438484691524582,0,0.0413279791888275,0.00539527068929941,0
"42x32",0.735552593172359,0.142629759131585,0,0.0738107867929922,0,0.0433001158278259,0.00470674507523751,0
"42x33",0.815901527533497,0.0484841308757498,0,0.0166951725609015,0,0.010736749875303,0.108182419154548,0
"42x34",0.770271155651673,0.0664376836162048,0,0,0,0.0312037197931015,0.132087440939021,0
"42x35",0.681321181514872,0.0942476155666572,0,0.052402594775306,0,0.000428591017325283,0.17160001712584,0
"42x36",0.698636393445339,0.0507894704765353,0,0.0680210750733213,0,0.0570205010630789,0.125532559941726,0
"42x37",0.786076610696128,0.0595524964322119,0,0.0278034548737843,0,0.031134582647936,0.0954328553499394,0
"42x38",0.728794066023702,0.0441572372618483,0,0.102582798938056,0,0.0368599485027395,0.0876059492736539,0
"42x39",0.82147852559176,0.00480127946822992,0,0.0620232624844697,0,0.0130449016145633,0.0903811845027059,0.00827084633827122
"42x40",0.731189147409389,0.00335691689127556,0,0.0810476030390979,0,0.0192651596605517,0.165141172999686,0
"42x41",0.748104666886778,0.042285039543804,0,0.0543983458050596,0,0.0428265303605376,0.112385417403821,0
"42x42",0.739166186390959,0.11691466592024,0,0.0480591412481781,0,0.0484392885085777,0.0253926301038059,0.0220280878282399
"42x43",0.72716319955529,0.0215037749341401,0.0565049356015394,0.0474330432210837,0.00307530421112045,0,0.144319742476827,0
"42x44",0.729674289584628,0.02104344023404,0.000439811172821143,0.11149194319208,0.00128931274912719,0.00922550010468613,0.107880277037602,0.0189554259250143
"42x45",0.563354239068636,0.069006283982898,0.0808427026405978,0.0559966820694561,0.104726893696152,0.00482859142978482,0.120208789654708,0.00103581745776822
"42x46",0.702371804760732,0.0548585758006877,0.0405646345486786,0.0662478938420347,0.0333422557443544,0.0360544279433667,0.0623125943802722,0.00424781297987405
"42x47",0.628765055182665,0.122059961553195,0.00783906244566016,0.0713043522591648,0.0928212064934589,0,0.0674666917552207,0.00974367031063541
"42x48",0.49740191616183,0.138647131302266,0,0.0846425110509311,0.0144977978752929,0.0489159790595757,0.215894664550104,0
"42x49",0.563611168906959,0.0865900080396225,0.104899902733336,0.0575201885208438,0,0.0419935661383178,0.104673593591949,0.0407115720689718
"43x0",0.464015805832212,0.247202143710641,0.000426391483414277,0.0633316531770186,0.0683522012093664,0.0351062815320272,0.108870991138366,0.0126945319169544
"43x1",0.262605596215387,0.300967415137903,0.0976717123038218,0.078407941021076,0,0,0.180745975316375,0.0796013600054373
"43x2",0.457789867259151,0.197901145442749,0,0.139447991435945,0.0288188557326203,0.0902576670302843,0.0653035053646432,0.020480967734607
"43x3",0.309335971459131,0.382610612834214,0.0906636274766483,0.0378436509045404,0,0.153118337948164,0.0264277993773025,0
