,Cancer,Ductal,Macrophages,Mast,Monocytes,T,mDCs,pDCs
3x40,0.10035763,0.27402508,0.17470796,0.1346345,0.08222607,5.845640999999999e-13,0.23404875,3.45487e-13
3x41,0.21675177,0.27839264,0.01188148,5.5741666e-14,0.0020356511,0.06914903,0.4088945,0.0128948465
3x42,0.32452834,0.28504409999999997,0.26512805,4.2457205e-14,0.05035632,2.4844421999999997e-13,0.074943215,2.1031125000000003e-13
3x43,0.25271997,0.21381219,0.27667659999999994,0.1254539,0.008253658,0.013254936,0.07617889,0.033649825
3x44,0.45458823,0.30022362,6.312723e-12,5.6949223e-14,0.116721354,3.0749196000000004e-13,0.12846677,2.854449e-13
3x45,0.37722418,0.27983102,3.2303364999999997e-13,5.782578999999999e-14,0.16327538,1.7403073e-13,0.17966942,4.953544e-13
3x46,0.47663924,0.08579439999999999,0.21811971,0.15752696,0.015910853,1.9945731e-12,0.018822912,0.027185896
3x47,0.28199977,0.37836328,0.0037104091999999997,0.077476434,0.13389336,0.011342253,0.06431366,0.04890083
3x48,0.6592710999999999,0.11656592,0.08191288,7.101503999999999e-14,0.094093926,0.007999481999999999,0.04015662,1.7978804e-12
3x49,0.27753034,0.3515759,0.04085154,4.451167e-14,0.052644473,2.9137595e-12,0.2773977,2.7868894e-13
4x0,0.8755218000000001,0.10891166,4.9863889999999995e-14,4.0973833e-14,8.999148e-14,0.015566575,4.3010289999999996e-14,2.9145173e-13
4x1,0.8155055,5.4024927e-13,1.417931e-13,8.021318e-14,0.0042806272,0.011484041,0.16321188,0.005517989
4x2,0.69048923,0.18600765,0.12350311,5.112383e-14,1.47468e-13,4.3389825e-13,2.0932422e-13,2.0518392e-13
4x3,0.9624898000000001,0.03751024,2.160879e-13,3.3650827e-14,1.4945151e-13,4.4911090000000006e-13,5.896314e-14,1.2085673e-13
4x4,0.99027604,0.0097239865,3.7382894e-14,1.9510083e-14,1.463107e-13,3.6220928e-14,2.8375633999999995e-14,3.4128004e-14
4x5,0.9978214,1.7578758999999998e-12,5.3919983e-05,3.7187939999999996e-14,7.718221e-14,2.7664486000000003e-13,0.0021246967,4.043897e-13
4x6,1.0,9.592236e-14,3.9321428e-14,2.4911883999999997e-14,3.5629469999999996e-14,1.400299e-13,3.5358808e-14,5.629936e-14
4x7,1.0,3.1755102999999997e-13,9.172896500000001e-14,4.20102e-14,4.8067377999999996e-14,6.10271e-14,5.0811989999999995e-14,5.1431342999999993e-14
